,ID,Date,Primary Type,Year,Time Period,DateTime,Hour
1420325,22979,11/26/2016 04:28:00 AM,HOMICIDE,2016,AM,2016-11-26 04:28:00,4
1420326,22980,11/26/2016 03:47:00 PM,HOMICIDE,2016,PM,2016-11-26 15:47:00,15
1420962,22981,11/27/2016 02:53:00 AM,HOMICIDE,2016,AM,2016-11-27 02:53:00,2
1420963,22982,11/27/2016 02:01:00 PM,HOMICIDE,2016,PM,2016-11-27 14:01:00,14
1420964,22983,11/27/2016 02:22:00 PM,HOMICIDE,2016,PM,2016-11-27 14:22:00,14
1421766,10768398,11/28/2016 10:00:00 AM,SEX OFFENSE,2016,AM,2016-11-28 10:00:00,10
1421852,22984,11/28/2016 06:35:00 PM,HOMICIDE,2016,PM,2016-11-28 18:35:00,18
1421853,22985,11/28/2016 06:35:00 PM,HOMICIDE,2016,PM,2016-11-28 18:35:00,18
1421854,22986,11/28/2016 07:13:00 PM,HOMICIDE,2016,PM,2016-11-28 19:13:00,19
1422089,10768298,11/29/2016 06:15:00 PM,SEX OFFENSE,2016,PM,2016-11-29 18:15:00,18
1422198,10768500,11/29/2016 06:00:00 PM,SEX OFFENSE,2016,PM,2016-11-29 18:00:00,18
1422528,22987,11/29/2016 01:40:00 AM,HOMICIDE,2016,AM,2016-11-29 01:40:00,1
1422529,22988,11/29/2016 08:12:00 PM,HOMICIDE,2016,PM,2016-11-29 20:12:00,20
1423139,22992,11/30/2016 07:15:00 AM,HOMICIDE,2016,AM,2016-11-30 07:15:00,7
1423140,22993,11/30/2016 08:22:00 PM,HOMICIDE,2016,PM,2016-11-30 20:22:00,20
1423142,10679784,09/13/2016 12:44:00 PM,SEX OFFENSE,2016,PM,2016-09-13 12:44:00,12
1423497,10770706,12/01/2016 03:00:00 PM,SEX OFFENSE,2016,PM,2016-12-01 15:00:00,15
1423793,10771602,12/01/2016 08:40:00 AM,SEX OFFENSE,2016,AM,2016-12-01 08:40:00,8
1423921,10776730,10/09/2016 08:00:00 AM,SEX OFFENSE,2016,AM,2016-10-09 08:00:00,8
1423943,22994,12/01/2016 08:28:00 PM,HOMICIDE,2016,PM,2016-12-01 20:28:00,20
1423944,22995,12/01/2016 01:32:00 AM,HOMICIDE,2016,AM,2016-12-01 01:32:00,1
1424009,22436,04/24/2016 07:07:00 PM,HOMICIDE,2016,PM,2016-04-24 19:07:00,19
1424703,22996,12/02/2016 02:43:00 AM,HOMICIDE,2016,AM,2016-12-02 02:43:00,2
1424704,22997,12/02/2016 03:04:00 PM,HOMICIDE,2016,PM,2016-12-02 15:04:00,15
1424705,23005,12/02/2016 06:15:00 PM,HOMICIDE,2016,PM,2016-12-02 18:15:00,18
1425110,10773012,12/03/2016 08:40:00 PM,SEX OFFENSE,2016,PM,2016-12-03 20:40:00,20
1425404,22998,12/03/2016 02:19:00 AM,HOMICIDE,2016,AM,2016-12-03 02:19:00,2
1425941,22999,12/04/2016 02:52:00 AM,HOMICIDE,2016,AM,2016-12-04 02:52:00,2
1425942,23000,12/04/2016 12:44:00 AM,HOMICIDE,2016,AM,2016-12-04 00:44:00,0
1425943,23001,12/04/2016 03:07:00 AM,HOMICIDE,2016,AM,2016-12-04 03:07:00,3
1425944,23002,12/04/2016 11:44:00 PM,HOMICIDE,2016,PM,2016-12-04 23:44:00,23
1425945,23004,12/04/2016 04:04:00 PM,HOMICIDE,2016,PM,2016-12-04 16:04:00,16
1426609,10774997,12/05/2016 11:03:00 PM,SEX OFFENSE,2016,PM,2016-12-05 23:03:00,23
1426611,10775000,12/05/2016 10:30:00 PM,SEX OFFENSE,2016,PM,2016-12-05 22:30:00,22
1426774,10777315,12/05/2016 10:50:00 PM,SEX OFFENSE,2016,PM,2016-12-05 22:50:00,22
1426802,10780184,12/05/2016 10:20:00 AM,SEX OFFENSE,2016,AM,2016-12-05 10:20:00,10
1426814,23003,12/05/2016 05:14:00 PM,HOMICIDE,2016,PM,2016-12-05 17:14:00,17
1426879,10779264,11/29/2016 05:00:00 PM,SEX OFFENSE,2016,PM,2016-11-29 17:00:00,17
1426954,10775517,12/06/2016 10:30:00 AM,SEX OFFENSE,2016,AM,2016-12-06 10:30:00,10
1427202,10776100,12/06/2016 12:45:00 PM,SEX OFFENSE,2016,PM,2016-12-06 12:45:00,12
1427477,23006,12/06/2016 12:30:00 PM,HOMICIDE,2016,PM,2016-12-06 12:30:00,12
1427478,23007,12/06/2016 05:13:00 PM,HOMICIDE,2016,PM,2016-12-06 17:13:00,17
1427479,23017,06/11/2016 06:00:00 PM,HOMICIDE,2016,PM,2016-06-11 18:00:00,18
1427528,10673500,09/07/2016 07:38:00 AM,SEX OFFENSE,2016,AM,2016-09-07 07:38:00,7
1427617,10776750,12/07/2016 08:37:00 AM,SEX OFFENSE,2016,AM,2016-12-07 08:37:00,8
1427763,10777193,12/07/2016 01:45:00 PM,SEX OFFENSE,2016,PM,2016-12-07 13:45:00,13
1428095,23009,12/07/2016 02:39:00 PM,HOMICIDE,2016,PM,2016-12-07 14:39:00,14
1428200,10782131,12/01/2016 06:00:00 PM,SEX OFFENSE,2016,PM,2016-12-01 18:00:00,18
1428524,10778533,12/08/2016 06:15:00 PM,SEX OFFENSE,2016,PM,2016-12-08 18:15:00,18
1428712,10779704,01/01/2016 12:00:00 AM,SEX OFFENSE,2016,AM,2016-01-01 00:00:00,0
1428800,23008,12/08/2016 04:28:00 PM,HOMICIDE,2016,PM,2016-12-08 16:28:00,16
1428851,22315,02/04/2016 08:50:00 AM,HOMICIDE,2016,AM,2016-02-04 08:50:00,8
1429320,10780518,12/09/2016 09:55:00 PM,SEX OFFENSE,2016,PM,2016-12-09 21:55:00,21
1429357,10781814,12/09/2016 04:00:00 PM,SEX OFFENSE,2016,PM,2016-12-09 16:00:00,16
1429420,23010,12/09/2016 11:05:00 PM,HOMICIDE,2016,PM,2016-12-09 23:05:00,23
1429421,23011,12/09/2016 04:07:00 PM,HOMICIDE,2016,PM,2016-12-09 16:07:00,16
1429422,23012,12/09/2016 10:58:00 PM,HOMICIDE,2016,PM,2016-12-09 22:58:00,22
